E_F,G_Landauer,G_TDNEGF,G_corrected
-5.0,6.74379859749053e-20,-2.891051747653271e-9,-1.4455258738266354e-9
-4.5,1.921796990118075e-19,-2.595169740339663e-9,-1.2975848701698315e-9
-4.0,2.168165594025919e-18,-3.3789510737766103e-10,-1.6894755368883052e-10
-3.5,6.80179135371816e-10,1.5131029008062827e-9,7.565514504031413e-10
-3.0,0.1615354530350084,0.31460097812097293,0.15730048906048646
-2.5,0.3183098807166688,0.6366075793062563,0.31830378965312817
-2.0,0.31830988250571274,0.6366179775701102,0.3183089887850551
-1.5,0.3183098835357634,0.6366194863461739,0.31830974317308697
-1.0,0.4750842904826465,0.9512207491181313,0.47561037455906563
-0.5,0.6366197635722671,1.2732270632585074,0.6366135316292537
0.0,0.6366197650114391,1.2732359527500192,0.6366179763750096
0.5,0.6366197635722671,1.273227061516977,0.6366135307584885
1.0,0.47508429048264617,0.9512207513882817,0.47561037569414083
1.5,0.31830988353576367,0.6366194853009272,0.3183097426504636
2.0,0.31830988250571246,0.6366179778089444,0.3183089889044722
2.5,0.3183098807166692,0.6366075750935124,0.3183037875467562
3.0,0.16153545303500835,0.31460098315641927,0.15730049157820963
3.5,6.801790955715248e-10,3.96239561674769e-10,1.981197808373845e-10
4.0,7.662119158534277e-19,4.832463366104453e-9,2.4162316830522266e-9
4.5,1.921796961221653e-19,-5.600898681554363e-10,-2.8004493407771813e-10
5.0,6.743798597490524e-20,-1.5808095135801777e-8,-7.904047567900889e-9
